epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,21234.5,1.29575,1.30724,1.55631,0.83682,0.80444,0.85799,0.56561,1.18445,0.84766,1.37796,6.139e-05,6.139e-05,6.139e-05
41,21763.8,1.28698,1.29305,1.55033,0.83962,0.79325,0.85817,0.56944,1.20561,0.84815,1.39495,6.04e-05,6.04e-05,6.04e-05
42,22293.7,1.28439,1.26889,1.54582,0.82913,0.79988,0.86505,0.58511,1.16959,0.80815,1.38042,5.941e-05,5.941e-05,5.941e-05
43,22824.4,1.27784,1.27607,1.54571,0.84763,0.8044,0.87545,0.58981,1.16363,0.80307,1.37346,5.842e-05,5.842e-05,5.842e-05
44,23355,1.26258,1.27177,1.55492,0.88008,0.77561,0.87408,0.5815,1.17797,0.81098,1.40806,5.743e-05,5.743e-05,5.743e-05
45,23884.7,1.25338,1.26166,1.54489,0.84121,0.79062,0.86639,0.58464,1.16939,0.80959,1.37821,5.644e-05,5.644e-05,5.644e-05
46,24414.8,1.26349,1.25179,1.53634,0.85925,0.77753,0.86404,0.58571,1.16171,0.81901,1.35147,5.545e-05,5.545e-05,5.545e-05
47,24944,1.26218,1.24526,1.53463,0.8633,0.78333,0.87009,0.59039,1.15641,0.80253,1.36357,5.446e-05,5.446e-05,5.446e-05
48,25473.4,1.25083,1.23361,1.53587,0.86012,0.79941,0.88092,0.60502,1.13538,0.76747,1.37166,5.347e-05,5.347e-05,5.347e-05
49,26003.5,1.23208,1.19923,1.52082,0.8504,0.81816,0.88053,0.5966,1.15355,0.76242,1.3713,5.248e-05,5.248e-05,5.248e-05
50,26533.5,1.22666,1.19527,1.51311,0.86467,0.81603,0.88685,0.60861,1.14178,0.75435,1.35436,5.149e-05,5.149e-05,5.149e-05
51,27063.1,1.2201,1.19187,1.51211,0.85937,0.81048,0.87311,0.59379,1.14928,0.7834,1.3565,5.05e-05,5.05e-05,5.05e-05
52,27592.9,1.21856,1.20636,1.49944,0.86867,0.78989,0.88011,0.60564,1.13878,0.76417,1.3623,4.951e-05,4.951e-05,4.951e-05
53,28122.4,1.20469,1.15913,1.48989,0.86165,0.8128,0.88005,0.60378,1.1399,0.76476,1.35647,4.852e-05,4.852e-05,4.852e-05
54,28651.3,1.20088,1.16727,1.49471,0.888,0.80055,0.88617,0.61098,1.142,0.75338,1.37271,4.753e-05,4.753e-05,4.753e-05
55,29180.8,1.21036,1.17041,1.49927,0.86192,0.81749,0.87714,0.60474,1.1319,0.75902,1.36261,4.654e-05,4.654e-05,4.654e-05
56,29710.7,1.19994,1.16391,1.48985,0.85543,0.82562,0.87672,0.60739,1.12548,0.74535,1.34228,4.555e-05,4.555e-05,4.555e-05
57,30240.7,1.19603,1.16497,1.49114,0.88126,0.81529,0.89127,0.6237,1.11243,0.7278,1.33454,4.456e-05,4.456e-05,4.456e-05
58,30770.4,1.19252,1.15498,1.49219,0.8651,0.82112,0.88372,0.62138,1.10566,0.72599,1.32844,4.357e-05,4.357e-05,4.357e-05
