epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,606.452,2.25909,3.17034,2.37185,0.39155,0.07478,0.03947,0.01083,2.6297,4.86089,2.47228,0.000332749,0.000332749,0.0670579
2,1195.41,2.15075,3.02845,2.30647,0.48123,0.13467,0.10721,0.02889,2.51238,4.11586,2.31015,0.000659488,0.000659488,0.0340513
3,1779.71,2.05386,2.91525,2.21338,0.33179,0.23442,0.20415,0.06812,2.25218,2.953,2.10536,0.000979627,0.000979627,0.00103811
4,2363.53,1.99131,2.79266,2.15343,0.32506,0.34164,0.26284,0.09585,2.03786,2.6574,1.9516,0.0009703,0.0009703,0.0009703
5,2947.08,1.924,2.69836,2.09569,0.42992,0.31996,0.30298,0.11622,2.03153,2.41394,1.92934,0.0009604,0.0009604,0.0009604
6,3530.05,1.88759,2.62831,2.05131,0.37558,0.39366,0.32779,0.13499,1.97693,2.36957,1.88692,0.0009505,0.0009505,0.0009505
7,4113.04,1.86304,2.56224,2.0344,0.39706,0.42025,0.35686,0.1436,1.94302,2.20234,1.84473,0.0009406,0.0009406,0.0009406
8,4695.96,1.82939,2.50431,2.00184,0.45107,0.42921,0.40473,0.17075,1.89362,2.1444,1.85278,0.0009307,0.0009307,0.0009307
9,5279,1.82352,2.46975,1.99581,0.4663,0.48747,0.46732,0.20621,1.83094,2.04496,1.75722,0.0009208,0.0009208,0.0009208
10,5862.15,1.8081,2.4193,1.97809,0.53547,0.46176,0.44523,0.20465,1.80668,2.0329,1.74815,0.0009109,0.0009109,0.0009109
11,6444.88,1.7856,2.42053,1.96539,0.52483,0.45571,0.47147,0.19702,1.86334,2.11853,1.80871,0.000901,0.000901,0.000901
12,7027.36,1.77316,2.3673,1.94781,0.56926,0.49511,0.51209,0.22521,1.79205,1.99458,1.72994,0.0008911,0.0008911,0.0008911
13,7610.61,1.76347,2.34991,1.93957,0.53254,0.51019,0.50638,0.23473,1.80472,1.87379,1.75999,0.0008812,0.0008812,0.0008812
14,8193.68,1.74667,2.29731,1.90447,0.51775,0.55231,0.54114,0.24131,1.79293,1.83249,1.71321,0.0008713,0.0008713,0.0008713
15,8777.16,1.74093,2.26638,1.90865,0.56734,0.52459,0.53902,0.24902,1.80606,1.85661,1.73713,0.0008614,0.0008614,0.0008614
16,9359.96,1.73285,2.25822,1.89527,0.65495,0.52246,0.59221,0.27054,1.73032,1.78464,1.69141,0.0008515,0.0008515,0.0008515
17,9942.74,1.71047,2.21757,1.89148,0.59342,0.52718,0.56983,0.25801,1.74626,1.79708,1.69759,0.0008416,0.0008416,0.0008416
18,10525.5,1.71241,2.19642,1.875,0.56888,0.53616,0.54208,0.24696,1.80643,1.81177,1.72989,0.0008317,0.0008317,0.0008317
19,11108.5,1.69833,2.17211,1.87997,0.55458,0.55042,0.54368,0.26178,1.7148,1.95458,1.71,0.0008218,0.0008218,0.0008218
20,11691.2,1.67791,2.16208,1.8761,0.60077,0.53224,0.57475,0.27502,1.74406,1.73077,1.70939,0.0008119,0.0008119,0.0008119
21,12274.3,1.67165,2.13071,1.85969,0.61432,0.60529,0.63412,0.32425,1.66554,1.62857,1.64952,0.000802,0.000802,0.000802
22,12857.6,1.67756,2.13463,1.85685,0.66738,0.52758,0.61051,0.30717,1.67125,1.67453,1.63327,0.0007921,0.0007921,0.0007921
23,13440.3,1.67673,2.11791,1.8616,0.59044,0.58862,0.57989,0.28349,1.72454,1.739,1.66958,0.0007822,0.0007822,0.0007822
24,14023.1,1.65535,2.0773,1.85042,0.62105,0.5467,0.57273,0.27417,1.70548,1.73253,1.67775,0.0007723,0.0007723,0.0007723
25,14606.9,1.64448,2.0787,1.84079,0.61805,0.5539,0.59215,0.29467,1.71501,1.6702,1.67479,0.0007624,0.0007624,0.0007624
26,15191.3,1.63951,2.0454,1.83012,0.64007,0.58167,0.63424,0.32383,1.65609,1.57127,1.62712,0.0007525,0.0007525,0.0007525
27,15774.6,1.6411,2.06499,1.82988,0.69916,0.58325,0.65142,0.34357,1.60183,1.56512,1.59944,0.0007426,0.0007426,0.0007426
28,16359.7,1.62715,2.04497,1.82108,0.6955,0.58066,0.66508,0.3466,1.6103,1.49868,1.6325,0.0007327,0.0007327,0.0007327
