epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.326,1.92587,2.57738,2.04194,0.38736,0.39558,0.30976,0.15408,1.85122,2.47527,1.85852,3.32749e-06,3.32749e-06,0.0667285
2,1159.92,1.69677,2.08019,1.85144,0.69591,0.53277,0.61434,0.3462,1.52398,1.41599,1.59501,6.59488e-06,6.59488e-06,0.0333984
3,1728.78,1.62398,1.89703,1.78241,0.49265,0.63358,0.48702,0.28908,1.38162,3.9964,1.51603,9.79627e-06,9.79627e-06,6.82758e-05
4,2294.37,1.55552,1.81124,1.74337,0.60342,0.65418,0.5594,0.32517,1.38851,1.76867,1.51265,9.703e-06,9.703e-06,9.703e-06
5,2861.63,1.52623,1.74864,1.72813,0.63005,0.67108,0.59605,0.35422,1.35584,1.29887,1.48687,9.604e-06,9.604e-06,9.604e-06
6,3428.72,1.51509,1.71704,1.70735,0.75494,0.68747,0.75141,0.46618,1.30545,1.0897,1.466,9.505e-06,9.505e-06,9.505e-06
7,3995.13,1.48159,1.66079,1.68143,0.68155,0.69085,0.65534,0.3986,1.30172,1.11531,1.44299,9.406e-06,9.406e-06,9.406e-06
8,4562.44,1.48739,1.63839,1.68211,0.72962,0.69977,0.7349,0.4633,1.27553,1.03839,1.43559,9.307e-06,9.307e-06,9.307e-06
9,5129.73,1.45621,1.6094,1.65781,0.77986,0.63417,0.76169,0.48789,1.27126,1.01875,1.41832,9.208e-06,9.208e-06,9.208e-06
10,5697.66,1.45334,1.57729,1.65747,0.80737,0.71798,0.80053,0.51088,1.28087,0.98995,1.41059,9.109e-06,9.109e-06,9.109e-06
11,6266.21,1.44766,1.57697,1.65044,0.81676,0.69991,0.79451,0.50002,1.29386,0.99956,1.43064,9.01e-06,9.01e-06,9.01e-06
12,6834.16,1.44053,1.56907,1.6556,0.80565,0.71055,0.80203,0.52762,1.2263,0.94481,1.39574,8.911e-06,8.911e-06,8.911e-06
13,7402.13,1.43179,1.55225,1.65122,0.8225,0.74795,0.82313,0.5261,1.23313,0.93362,1.39695,8.812e-06,8.812e-06,8.812e-06
14,7968.65,1.42063,1.51909,1.63221,0.80853,0.72616,0.81954,0.52643,1.23549,0.91957,1.39327,8.713e-06,8.713e-06,8.713e-06
15,8535.83,1.40419,1.49625,1.62296,0.69996,0.72183,0.74705,0.48347,1.23635,0.98462,1.39203,8.614e-06,8.614e-06,8.614e-06
16,9103.41,1.39468,1.47343,1.61211,0.69956,0.72492,0.67413,0.43057,1.20388,0.97291,1.36998,8.515e-06,8.515e-06,8.515e-06
17,9670.14,1.38341,1.45826,1.60331,0.82428,0.7116,0.802,0.52597,1.20902,0.91845,1.36455,8.416e-06,8.416e-06,8.416e-06
18,10236.4,1.38191,1.4456,1.60558,0.82797,0.73533,0.83346,0.54923,1.20687,0.87177,1.36428,8.317e-06,8.317e-06,8.317e-06
19,10804.4,1.38059,1.45094,1.60514,0.73343,0.77401,0.79358,0.52184,1.20266,0.89128,1.35281,8.218e-06,8.218e-06,8.218e-06
20,11372.3,1.37593,1.43364,1.59165,0.80435,0.76473,0.82496,0.54762,1.18568,0.87934,1.36042,8.119e-06,8.119e-06,8.119e-06
21,11939.4,1.36338,1.41842,1.59542,0.84636,0.76046,0.83847,0.55553,1.18531,0.85455,1.35409,8.02e-06,8.02e-06,8.02e-06
22,12505.7,1.35913,1.42228,1.59198,0.83717,0.77971,0.85237,0.56636,1.19181,0.83459,1.36077,7.921e-06,7.921e-06,7.921e-06
23,13073.4,1.35759,1.40132,1.59363,0.83842,0.78672,0.84902,0.56493,1.17745,0.82506,1.35602,7.822e-06,7.822e-06,7.822e-06
24,13640.2,1.34901,1.39428,1.58936,0.83844,0.78596,0.85126,0.56346,1.19767,0.83322,1.37082,7.723e-06,7.723e-06,7.723e-06
25,14207.0,1.34426,1.38652,1.5772,0.85596,0.77404,0.85733,0.56693,1.19194,0.82859,1.35358,7.624e-06,7.624e-06,7.624e-06
