epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,950.832,2.93827,3.8219,2.88804,0.00063,0.12835,0.00056,0.00013,4.08743,4.89364,3.7147,0.00332749,0.00332749,0.0700526
2,1840.21,2.69069,3.73916,2.69381,0.35141,0.01366,0.00661,0.00132,3.40697,26.279,3.41711,0.00659488,0.00659488,0.0399867
3,2708.93,2.54106,3.54794,2.54419,0.12813,0.02344,0.01371,0.00356,2.8188,4.17564,2.55385,0.00979627,0.00979627,0.00985475
4,3591.89,2.45152,3.46952,2.46298,0.05474,0.13391,0.0189,0.00493,2.7128,4.31092,2.56777,0.009703,0.009703,0.009703
5,4459.37,2.39698,3.39036,2.42701,0.0667,0.06545,0.0178,0.00477,2.63021,4.40046,2.39696,0.009604,0.009604,0.009604
6,5356.01,2.35189,3.34304,2.37954,0.38714,0.07442,0.03152,0.008,2.62093,4.16269,2.36965,0.009505,0.009505,0.009505
7,6225.31,2.30679,3.26656,2.35291,0.18758,0.13385,0.07126,0.02126,2.5079,3.47532,2.2379,0.009406,0.009406,0.009406
8,7087.4,2.27896,3.23391,2.31058,0.14798,0.14097,0.06579,0.02046,2.39355,3.62458,2.21929,0.009307,0.009307,0.009307
9,7954.43,2.25042,3.18105,2.29469,0.11136,0.1542,0.05734,0.0149,2.3913,3.67734,2.27591,0.009208,0.009208,0.009208
10,8850.61,2.23045,3.15383,2.27953,0.1647,0.12887,0.06182,0.01823,2.56866,4.2983,2.42319,0.009109,0.009109,0.009109
11,9718.9,2.19731,3.11606,2.25153,0.18799,0.20678,0.10764,0.03317,2.24276,3.42953,2.18136,0.00901,0.00901,0.00901
12,10581.4,2.18446,3.07473,2.24825,0.25744,0.22335,0.13962,0.04562,2.2571,3.28021,2.18549,0.008911,0.008911,0.008911
13,11448.7,2.16815,3.05046,2.21974,0.23425,0.22555,0.14235,0.0436,2.22034,3.25817,2.16591,0.008812,0.008812,0.008812
14,12344.5,2.1491,3.0302,2.22231,0.25879,0.28244,0.16743,0.05902,2.10957,3.14171,2.08778,0.008713,0.008713,0.008713
15,13213.2,2.14264,2.97343,2.19312,0.21644,0.24288,0.14263,0.04741,2.25157,3.35779,2.21305,0.008614,0.008614,0.008614
16,14073.8,2.12484,2.95355,2.19001,0.29726,0.28269,0.2019,0.07021,2.12452,3.04919,2.07352,0.008515,0.008515,0.008515
17,14941.4,2.11152,2.95914,2.17878,0.3485,0.30046,0.2281,0.08488,2.07868,2.92232,2.03642,0.008416,0.008416,0.008416
18,15837.6,2.09824,2.89331,2.15137,0.28618,0.31982,0.20158,0.08245,2.04173,3.02722,2.02893,0.008317,0.008317,0.008317
19,16704.7,2.0927,2.88413,2.1569,0.39887,0.2627,0.23602,0.09091,2.09208,2.88677,2.06972,0.008218,0.008218,0.008218
20,17565,2.07234,2.86101,2.14479,0.36349,0.32571,0.24408,0.09485,2.06092,2.8313,2.03646,0.008119,0.008119,0.008119
21,18431.3,2.05967,2.83419,2.12873,0.36179,0.30767,0.25407,0.09953,2.03501,2.82,2.03814,0.00802,0.00802,0.00802
22,19327.1,2.04937,2.82568,2.12798,0.38177,0.31943,0.26297,0.10421,2.01583,2.65095,1.99561,0.007921,0.007921,0.007921
23,20194.4,2.0546,2.80642,2.13038,0.37582,0.31094,0.27081,0.11223,1.9798,2.81844,1.98381,0.007822,0.007822,0.007822
24,21055.5,2.0431,2.77849,2.12316,0.46776,0.32921,0.32423,0.13309,1.97248,2.72548,1.95781,0.007723,0.007723,0.007723
25,21922,2.01515,2.74995,2.09307,0.37069,0.37049,0.2914,0.12154,1.93843,2.6213,1.92986,0.007624,0.007624,0.007624
26,22817.4,2.02363,2.74247,2.09612,0.43586,0.33834,0.32362,0.13225,1.95612,2.53511,1.94642,0.007525,0.007525,0.007525
27,23684.2,2.02253,2.73531,2.09304,0.47121,0.34727,0.35204,0.1588,1.86027,2.50417,1.89162,0.007426,0.007426,0.007426
28,24545.1,1.98976,2.69982,2.07312,0.42389,0.37728,0.34675,0.15153,1.90145,2.549,1.90075,0.007327,0.007327,0.007327
29,25411.3,1.98504,2.69792,2.0667,0.43157,0.37014,0.34966,0.15381,1.90991,2.45972,1.88317,0.007228,0.007228,0.007228
30,26306.1,1.99538,2.69538,2.06887,0.49375,0.37538,0.38517,0.17392,1.88969,2.36614,1.86906,0.007129,0.007129,0.007129
31,27173.3,1.99627,2.66798,2.06205,0.39223,0.36774,0.33828,0.15338,1.8757,2.60129,1.88084,0.00703,0.00703,0.00703
32,28034,1.97954,2.62589,2.0436,0.4989,0.40484,0.38982,0.18108,1.85733,2.35945,1.84793,0.006931,0.006931,0.006931
33,28900.8,1.96731,2.62467,2.03568,0.45407,0.39785,0.38188,0.17411,1.85562,2.43969,1.86582,0.006832,0.006832,0.006832
34,29796.3,1.96183,2.6214,2.03717,0.46694,0.39808,0.37895,0.16839,1.85824,2.45126,1.87241,0.006733,0.006733,0.006733
35,30664.2,1.95174,2.60318,2.03022,0.52298,0.41631,0.42807,0.19494,1.81979,2.25343,1.82687,0.006634,0.006634,0.006634
36,31526.2,1.95041,2.58666,2.02361,0.46921,0.4121,0.40324,0.18922,1.83569,2.23956,1.85465,0.006535,0.006535,0.006535
37,32392.1,1.95062,2.60621,2.03772,0.52294,0.38489,0.41462,0.20042,1.80104,2.24623,1.80685,0.006436,0.006436,0.006436
38,33288.2,1.92922,2.55291,2.01449,0.54937,0.43236,0.45305,0.21182,1.81579,2.13646,1.81153,0.006337,0.006337,0.006337
