epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,965.954,3.48567,3.84415,3.10052,0,0,0,0,0.00093,0.69968,0.00197,0.0332749,0.0332749,0.1
2,1870.44,3.16054,3.80085,2.89218,0.00093,0.23483,0.0014,0.0003,3.6448,5.24855,3.76663,0.0659488,0.0659488,0.0993406
3,2753.66,3.02395,3.85628,2.87692,0.0007,0.09161,0.0006,0.00014,4.68355,5.11513,4.86591,0.0979627,0.0979627,0.0980212
4,3650.8,2.97734,3.83327,2.80703,0.00105,0.21596,0.0014,0.00038,3.61321,4.96649,3.24316,0.09703,0.09703,0.09703
5,4532.84,2.90106,3.79636,2.74678,0.00096,0.22573,0.00091,0.00022,3.49013,5.40628,3.044,0.09604,0.09604,0.09604
6,5441.78,2.87188,3.81027,2.7393,0.00092,0.24226,0.00126,0.00034,3.48217,4.76865,2.92263,0.09505,0.09505,0.09505
7,6323,2.82627,3.81801,2.71509,0.00112,0.23773,0.00324,0.00074,3.51454,5.19083,2.98983,0.09406,0.09406,0.09406
8,7195.57,2.84451,3.79954,2.71141,0.00103,0.25278,0.00289,0.00069,3.278,4.909,2.8424,0.09307,0.09307,0.09307
9,8076.85,2.8145,3.80804,2.7086,0.00133,0.25878,0.00192,0.00049,3.31108,5.11295,2.94397,0.09208,0.09208,0.09208
10,8988.45,2.79755,3.78239,2.69437,0.00099,0.26505,0.00107,0.00028,3.25266,4.9372,2.97504,0.09109,0.09109,0.09109
11,9869.91,2.78476,3.78083,2.67043,0.00118,0.30327,0.00282,0.00087,3.19656,5.19083,2.81982,0.0901,0.0901,0.0901
12,10744.7,2.77298,3.78867,2.68591,0.00205,0.35997,0.00269,0.00073,3.26495,4.96411,2.84734,0.08911,0.08911,0.08911
13,11623.5,2.73805,3.7868,2.659,0.00136,0.3395,0.00333,0.00089,3.1632,5.10661,2.78588,0.08812,0.08812,0.08812
14,12534.8,2.74585,3.77467,2.66745,0.00121,0.3127,0.00233,0.00056,3.21167,4.90786,2.77292,0.08713,0.08713,0.08713
15,13416.6,2.72677,3.769,2.64882,0.00169,0.33398,0.00188,0.00052,3.1502,4.88158,2.74178,0.08614,0.08614,0.08614
16,14290.6,2.71753,3.78974,2.64603,0.00142,0.29424,0.00193,0.00046,3.15549,5.24894,2.77267,0.08515,0.08515,0.08515
17,15171.9,2.69777,3.78324,2.63139,0.0026,0.27314,0.00244,0.00063,3.20318,5.16799,2.78154,0.08416,0.08416,0.08416
18,16081.4,2.68866,3.77726,2.62041,0.00158,0.34398,0.00246,0.0006,3.14087,5.00073,2.74524,0.08317,0.08317,0.08317
19,16963.8,2.66108,3.75637,2.61422,0.00234,0.31624,0.00253,0.0006,3.06952,4.9043,2.73507,0.08218,0.08218,0.08218
20,17839,2.64921,3.74821,2.62175,0.00142,0.35914,0.00292,0.00073,3.05285,4.91144,2.66392,0.08119,0.08119,0.08119
